image,filter,psnr,ssim
01099.jpg,lee,15.3576,0.2230
01099.jpg,frost,17.6329,0.3086
01099.jpg,gamma,20.3237,0.4183
01100.jpg,lee,17.6856,0.2819
01100.jpg,frost,20.1995,0.3652
01100.jpg,gamma,23.7438,0.5065
01101.jpg,lee,16.4550,0.2135
01101.jpg,frost,18.9308,0.2877
01101.jpg,gamma,22.7776,0.4515
01102.jpg,lee,15.7156,0.1180
01102.jpg,frost,18.4909,0.1959
01102.jpg,gamma,23.6420,0.3855
01103.jpg,lee,17.3843,0.1614
01103.jpg,frost,19.9714,0.2374
01103.jpg,gamma,24.4291,0.4469
01104.jpg,lee,14.2940,0.0721
01104.jpg,frost,17.0937,0.1335
01104.jpg,gamma,21.4072,0.3220
01105.jpg,lee,16.8649,0.2208
01105.jpg,frost,19.3358,0.2958
01105.jpg,gamma,23.3984,0.4638
01106.jpg,lee,14.4368,0.1743
01106.jpg,frost,16.8088,0.2542
01106.jpg,gamma,19.5860,0.3339
01107.jpg,lee,17.0250,0.3009
01107.jpg,frost,19.5091,0.3785
01107.jpg,gamma,22.9418,0.4859
01108.jpg,lee,16.0645,0.2922
01108.jpg,frost,18.2143,0.3675
01108.jpg,gamma,20.6313,0.4690
01109.jpg,lee,17.0371,0.2135
01109.jpg,frost,19.5397,0.2963
01109.jpg,gamma,23.6529,0.4900
01110.jpg,lee,13.8582,0.1286
01110.jpg,frost,16.1048,0.2100
01110.jpg,gamma,18.6664,0.3562
01111.jpg,lee,18.1007,0.3832
01111.jpg,frost,20.5564,0.4329
01111.jpg,gamma,23.9175,0.5826
01112.jpg,lee,17.1677,0.1707
01112.jpg,frost,19.7430,0.2516
01112.jpg,gamma,24.6590,0.4684
01113.jpg,lee,17.1230,0.2700
01113.jpg,frost,19.6208,0.3579
01113.jpg,gamma,23.0624,0.4955
01114.jpg,lee,14.9678,0.0898
01114.jpg,frost,17.6947,0.1577
01114.jpg,gamma,22.4819,0.3481
01115.jpg,lee,23.0308,0.5876
01115.jpg,frost,25.9125,0.6058
01115.jpg,gamma,28.2307,0.7632
01116.jpg,lee,13.4162,0.0601
01116.jpg,frost,15.8979,0.1196
01116.jpg,gamma,18.8549,0.2878
01117.jpg,lee,15.0186,0.2127
01117.jpg,frost,17.5443,0.3065
01117.jpg,gamma,20.9110,0.4535
01118.jpg,lee,15.5493,0.0989
01118.jpg,frost,18.3167,0.1659
01118.jpg,gamma,23.6582,0.3439
01119.jpg,lee,17.4558,0.1908
01119.jpg,frost,20.1119,0.2759
01119.jpg,gamma,25.2851,0.5467
01120.jpg,lee,16.0012,0.2819
01120.jpg,frost,18.2331,0.3578
01120.jpg,gamma,21.1350,0.4593
01121.jpg,lee,15.5026,0.2012
01121.jpg,frost,17.5594,0.2629
01121.jpg,gamma,21.2239,0.4178
01122.jpg,lee,15.7240,0.1982
01122.jpg,frost,17.8949,0.2491
01122.jpg,gamma,22.3145,0.4205
01123.jpg,lee,14.8570,0.1524
01123.jpg,frost,17.2476,0.2292
01123.jpg,gamma,21.7223,0.3908
01124.jpg,lee,15.1106,0.3570
01124.jpg,frost,16.6759,0.3744
01124.jpg,gamma,18.7115,0.4577
01125.jpg,lee,14.3729,0.1862
01125.jpg,frost,16.2652,0.2494
01125.jpg,gamma,19.0971,0.3525
01126.jpg,lee,18.7342,0.2519
01126.jpg,frost,20.9189,0.3189
01126.jpg,gamma,24.9065,0.5683
01127.jpg,lee,15.0516,0.2898
01127.jpg,frost,16.9269,0.3536
